transaction_id,customer_id,amount,timestamp,payment_method,status,failure_reason,retry_count,checkout_completed,subscription,recovery_eligible,recovery_probability_ground_truth,recovery_outcome
TX00001,C0522,10506.39,2026-07-03 18:56:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00002,C0094,8565.52,2026-07-27 11:50:44.245926,WALLET,FAILED,BANK_DECLINE,2,True,False,True,0.23000000000000004,False
TX00003,C0613,13198.92,2026-07-12 21:24:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00004,C0556,671.5,2026-06-17 16:09:44.245926,NETBANKING,SUCCESS,,0,True,True,False,,
TX00005,C0026,4224.58,2026-08-14 22:42:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00006,C0518,3983.25,2026-08-19 20:20:44.245926,WALLET,SUCCESS,,0,True,True,False,,
TX00007,C0286,3298.81,2026-07-23 16:53:44.245926,CARD,SUCCESS,,0,True,True,False,,
TX00008,C0291,1806.46,2026-08-22 10:56:44.245926,WALLET,FAILED,INSUFFICIENT_FUNDS,2,False,False,True,0.25,False
TX00009,C0022,11829.32,2026-08-16 03:44:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00010,C0750,990.6,2026-07-09 04:15:44.245926,CARD,SUCCESS,,0,True,False,False,,
TX00011,C0439,14644.59,2026-07-02 21:41:44.245926,WALLET,FAILED,FRAUD_SUSPECTED,0,True,False,False,0.11,False
TX00012,C0046,13090.74,2026-08-18 23:48:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00013,C0301,10730.32,2026-07-07 22:01:44.245926,CARD,FAILED,INSUFFICIENT_FUNDS,2,True,False,True,0.13,False
TX00014,C0774,6897.58,2026-09-01 23:04:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00015,C0017,2854.79,2026-07-21 05:11:44.245926,CARD,SUCCESS,,0,True,True,False,,
TX00016,C0349,4402.95,2026-06-28 11:55:44.245926,WALLET,SUCCESS,,0,True,True,False,,
TX00017,C0175,4048.74,2026-07-04 12:48:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00018,C0309,887.13,2026-08-27 23:18:44.245926,NETBANKING,FAILED,TIMEOUT,0,True,False,True,0.73,True
TX00019,C0011,11911.65,2026-07-24 12:31:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00020,C0142,4972.53,2026-06-24 11:11:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00021,C0858,11858.0,2026-06-18 22:50:44.245926,CARD,SUCCESS,,0,True,False,False,,
TX00022,C0292,1651.6,2026-06-24 13:53:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00023,C0367,5166.68,2026-07-01 04:00:44.245926,NETBANKING,SUCCESS,,0,True,True,False,,
TX00024,C0178,8098.33,2026-07-25 12:56:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00025,C0068,429.41,2026-08-04 08:00:44.245926,NETBANKING,FAILED,TIMEOUT,0,False,False,True,0.85,True
TX00026,C0581,10333.51,2026-07-03 15:46:44.245926,NETBANKING,FAILED,TIMEOUT,0,True,False,True,0.85,True
TX00027,C0626,12385.0,2026-07-08 13:47:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00028,C0186,7456.03,2026-07-01 10:15:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00029,C0925,7854.25,2026-08-29 18:05:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00030,C0397,11667.78,2026-07-22 23:29:44.245926,UPI,FAILED,NETWORK_ERROR,0,True,True,True,0.9,True
TX00031,C0442,12584.28,2026-06-23 03:46:44.245926,CARD,FAILED,BANK_DECLINE,2,False,False,True,0.23000000000000004,False
TX00032,C0120,1360.17,2026-08-05 21:22:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00033,C0836,5176.22,2026-06-12 09:52:44.245926,CARD,SUCCESS,,0,True,True,False,,
TX00034,C0930,4003.05,2026-06-10 20:33:44.245926,CARD,SUCCESS,,0,True,False,False,,
TX00035,C0596,4102.12,2026-07-09 18:21:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00036,C0580,4951.14,2026-07-09 21:33:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00037,C0811,9728.91,2026-07-30 17:29:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00038,C0669,969.1,2026-08-20 15:42:44.245926,CARD,SUCCESS,,0,True,True,False,,
TX00039,C0486,1860.19,2026-08-15 01:40:44.245926,WALLET,FAILED,INSUFFICIENT_FUNDS,2,True,False,True,0.25,False
TX00040,C0016,10012.63,2026-07-17 14:07:44.245926,NETBANKING,SUCCESS,,0,True,True,False,,
TX00041,C0879,11277.28,2026-08-15 23:15:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00042,C0424,14413.97,2026-06-17 13:25:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00043,C0505,14490.87,2026-08-22 08:58:44.245926,CARD,FAILED,INSUFFICIENT_FUNDS,1,False,False,True,0.35,True
TX00044,C0599,914.07,2026-07-26 13:48:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00045,C0411,14220.6,2026-07-02 04:17:44.245926,WALLET,SUCCESS,,0,True,True,False,,
TX00046,C0697,10971.28,2026-06-23 17:13:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00047,C0662,7834.52,2026-06-19 02:17:44.245926,UPI,SUCCESS,,0,True,True,False,,
TX00048,C0936,4015.3,2026-06-14 21:04:44.245926,CARD,SUCCESS,,0,True,True,False,,
TX00049,C0808,12828.09,2026-08-20 22:34:44.245926,UPI,FAILED,INSUFFICIENT_FUNDS,2,True,False,True,0.13,False
TX00050,C0504,1743.58,2026-08-09 11:45:44.245926,CARD,SUCCESS,,0,True,False,False,,
TX00051,C0057,5549.93,2026-08-04 13:09:44.245926,CARD,FAILED,INSUFFICIENT_FUNDS,0,True,True,True,0.33,True
TX00052,C0217,5126.69,2026-08-03 11:12:44.245926,NETBANKING,SUCCESS,,0,True,False,False,,
TX00053,C0178,8613.61,2026-07-07 14:55:44.245926,UPI,SUCCESS,,0,True,False,False,,
TX00054,C0788,2779.0,2026-07-02 22:54:44.245926,UPI,FAILED,NETWORK_ERROR,0,True,False,True,0.9,True
TX00055,C0717,10289.83,2026-07-04 14:59:44.245926,WALLET,SUCCESS,,0,True,False,False,,
TX00056,C0649,5573.5,2026-07-02 05:59:44.245926,CARD,SUCCESS,,0,True,False,False,,
TX00057,C0873,9789.61,2026-06-11 21:45:44.245926,CARD,SUCCESS,,0,True,False,False,,
