timestamp,transaction_id,amount,failure_reason,recovery_probability,action,policy_status,decision_reason,execution_success,execution_message,verification_status,recovered_amount,ground_truth_recovery,original_retry_count
2026-09-03T23:13:29.439703,TX00002,8565.52,BANK_DECLINE,0.2683,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.459020,TX00008,1806.46,INSUFFICIENT_FUNDS,0.231,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.512554,TX00011,14644.59,FRAUD_SUSPECTED,0.0944,ESCALATE,BLOCKED,Automated recovery blocked because fraud was suspected.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,0
2026-09-03T23:13:29.526720,TX00013,10730.32,INSUFFICIENT_FUNDS,0.1658,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.538720,TX00018,887.13,TIMEOUT,0.8394,RETRY_PAYMENT,ALLOWED,Timeout with 83.94% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,887.13,True,0
2026-09-03T23:13:29.546719,TX00025,429.41,TIMEOUT,0.8401,RETRY_PAYMENT,ALLOWED,Timeout with 84.01% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,429.41,True,0
2026-09-03T23:13:29.555720,TX00026,10333.51,TIMEOUT,0.824,RETRY_PAYMENT,ALLOWED,Timeout with 82.40% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,10333.51,True,0
2026-09-03T23:13:29.568221,TX00030,11667.78,NETWORK_ERROR,0.8323,RETRY_PAYMENT,ALLOWED,Network failure with 83.23% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,11667.78,True,0
2026-09-03T23:13:29.577221,TX00031,12584.28,BANK_DECLINE,0.2044,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.585322,TX00039,1860.19,INSUFFICIENT_FUNDS,0.2308,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.593409,TX00043,14490.87,INSUFFICIENT_FUNDS,0.2568,ESCALATE,ALLOWED,Insufficient funds detected. Automated collection is intentionally avoided and the transaction is escalated.,True,Transaction escalated to merchant.,ESCALATED,0.0,True,1
2026-09-03T23:13:29.602393,TX00049,12828.09,INSUFFICIENT_FUNDS,0.1982,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.612950,TX00051,5549.93,INSUFFICIENT_FUNDS,0.4011,ESCALATE,ALLOWED,Insufficient funds detected. Automated collection is intentionally avoided and the transaction is escalated.,True,Transaction escalated to merchant.,ESCALATED,0.0,True,0
2026-09-03T23:13:29.624955,TX00054,2779.0,NETWORK_ERROR,0.8513,RETRY_PAYMENT,ALLOWED,Network failure with 85.13% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,2779.0,True,0
2026-09-03T23:13:29.633949,TX00073,5063.85,FRAUD_SUSPECTED,0.032,ESCALATE,BLOCKED,Automated recovery blocked because fraud was suspected.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.643041,TX00077,5371.98,BANK_DECLINE,0.2756,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.655937,TX00084,2458.92,TIMEOUT,0.8369,RETRY_PAYMENT,ALLOWED,Timeout with 83.69% predicted recovery probability. Automatic retry is permitted.,True,Payment retry succeeded.,SUCCESS,2458.92,True,0
2026-09-03T23:13:29.664944,TX00085,13214.08,INSUFFICIENT_FUNDS,0.2597,ESCALATE,ALLOWED,Insufficient funds detected. Automated collection is intentionally avoided and the transaction is escalated.,True,Transaction escalated to merchant.,ESCALATED,0.0,True,1
2026-09-03T23:13:29.677035,TX00091,7714.09,EXPIRED_CARD,0.0671,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,False,2
2026-09-03T23:13:29.689940,TX00103,6310.02,NETWORK_ERROR,0.6247,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,True,2
2026-09-03T23:13:29.697042,TX00108,9991.46,NETWORK_ERROR,0.5556,ESCALATE,BLOCKED,Automated recovery blocked because maximum retry limit of 2 has been reached.,True,Transaction escalated to merchant.,ESCALATED,0.0,True,2
